NO,MODE,DEVICE,ACTUAL,REFER,MEASURE,LIMIT_DOWN,PRESENT_DOWN,LIMIT_UP,PRESENT_UP,FILENAME
597,R.,R715,039.0 o,39.0 o,42.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231031.CSV"
597,R.,R715,039.0 o,39.0 o,43.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231601.CSV"
597,R.,R715,039.0 o,39.0 o,44.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231729.CSV"
597,R.,R715,039.0 o,39.0 o,43.3,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231948.CSV"
597,R.,R715,039.0 o,39.0 o,44.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231814.CSV"
597,R.,R715,039.0 o,39.0 o,43.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231645.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312231856.CSV"
597,R.,R715,039.0 o,39.0 o,44.0,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232245.CSV"
597,R.,R715,039.0 o,39.0 o,44.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232030.CSV"
597,R.,R715,039.0 o,39.0 o,43.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232115.CSV"
597,R.,R715,039.0 o,39.0 o,43.7,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232159.CSV"
597,R.,R715,039.0 o,39.0 o,44.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232514.CSV"
597,R.,R715,039.0 o,39.0 o,42.9,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110403.CSV"
597,R.,R715,039.0 o,39.0 o,44.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232330.CSV"
597,R.,R715,039.0 o,39.0 o,43.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220312232412.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110542.CSV"
597,R.,R715,039.0 o,39.0 o,42.5,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110629.CSV"
597,R.,R715,039.0 o,39.0 o,43.6,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314104800.CSV"
597,R.,R715,039.0 o,39.0 o,43.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110715.CSV"
597,R.,R715,039.0 o,39.0 o,42.8,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110755.CSV"
597,R.,R715,039.0 o,39.0 o,43.4,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314110237.CSV"
597,R.,R715,039.0 o,39.0 o,43.1,31.2 o,20,46.8 o,20,"EC16004-32,-34,-38_20220314105006.CSV"
